"Index","anom_location"
2014-06-23 02:50:00,"air1"
2014-06-27 01:50:00,"air1"
2014-06-27 22:50:00,"air1"
2014-06-28 00:50:00,"air1"
2014-06-28 13:50:00,"air1"
2014-06-28 15:50:00,"air1"
2014-07-06 00:50:00,"air1"
2014-07-06 01:50:00,"air1"
2014-07-06 02:50:00,"air1"
2014-07-06 03:50:00,"air1"
2014-07-06 05:50:00,"air1"
2014-07-06 06:50:00,"air1"
2014-07-06 07:50:00,"air1"
2014-07-06 11:50:00,"air1"
2014-07-07 14:50:00,"dishwasher1"
2014-07-08 14:50:00,"air1"
2014-07-12 14:50:00,"air1"
2014-07-13 00:50:00,"air1"
2014-07-13 22:50:00,"air1"
2014-07-13 23:50:00,"drye1"
2014-07-14 01:50:00,"air1"
2014-07-17 02:50:00,"air1"
2014-07-22 15:50:00,"air1"
2014-07-24 13:50:00,"furnace1"
2014-07-25 17:50:00,"air1"
2014-07-25 23:50:00,"air1"
2014-07-27 20:50:00,"air1"
2014-07-30 13:50:00,"furnace1"
2014-07-31 00:50:00,"drye1"
2014-07-31 02:50:00,"drye1"
2014-08-01 14:50:00,"drye1"
2014-08-04 00:50:00,"air1"
2014-08-04 01:50:00,"air1"
2014-08-06 01:50:00,"air1"
2014-08-10 15:50:00,"air1"
2014-08-11 12:50:00,"air1"
2014-08-13 00:50:00,"air1"
2014-08-13 01:50:00,"air1"
2014-08-13 13:50:00,"dishwasher1"
2014-08-14 01:50:00,"drye1"
2014-08-23 09:50:00,"furnace1"
2014-08-24 09:50:00,"clotheswasher1"
2014-08-30 09:50:00,"clotheswasher1"
