"Index","anom_location"
2014-06-25 10:50:00,"car1"
2014-06-26 22:50:00,"car1"
2014-06-26 23:50:00,"drye1"
2014-06-29 04:50:00,"air1"
2014-07-02 17:50:00,"air1"
2014-07-03 22:50:00,"drye1"
2014-07-05 05:50:00,"air1"
2014-07-06 20:50:00,"drye1"
2014-07-06 23:50:00,"drye1"
2014-07-09 05:50:00,"car1"
2014-07-10 17:50:00,"drye1"
2014-07-10 21:50:00,"car1"
2014-07-14 09:50:00,"car1"
2014-07-18 09:50:00,"drye1"
2014-07-19 19:50:00,"drye1"
2014-07-20 00:50:00,"car1"
2014-07-20 08:50:00,"drye1"
2014-07-20 13:50:00,"drye1"
2014-07-20 14:50:00,"drye1"
2014-07-22 08:50:00,"drye1"
2014-07-24 07:50:00,"drye1"
2014-07-24 08:50:00,"drye1"
2014-07-24 09:50:00,"drye1"
2014-07-27 03:50:00,"drye1"
2014-07-27 23:50:00,"drye1"
2014-07-28 00:50:00,"drye1"
2014-08-02 00:50:00,"air1"
2014-08-03 00:50:00,"car1"
2014-08-03 22:50:00,"clotheswasher1"
2014-08-04 00:50:00,"air1"
2014-08-04 01:50:00,"car1"
2014-08-07 17:50:00,"drye1"
2014-08-07 23:50:00,"drye1"
2014-08-08 21:50:00,"drye1"
2014-08-08 22:50:00,"drye1"
2014-08-11 04:50:00,"drye1"
2014-08-11 05:50:00,"air1"
2014-08-11 07:50:00,"drye1"
2014-08-11 23:50:00,"air1"
2014-08-13 02:50:00,"air1"
2014-08-13 03:50:00,"air1"
2014-08-13 23:50:00,"air1"
2014-08-14 07:50:00,"drye1"
2014-08-14 23:50:00,"dishwasher1"
2014-08-16 02:50:00,"drye1"
2014-08-16 12:50:00,"drye1"
2014-08-16 13:50:00,"car1"
2014-08-18 00:50:00,"car1"
2014-08-18 08:50:00,"car1"
2014-08-24 20:50:00,"drye1"
2014-08-25 02:50:00,"air1"
2014-08-26 17:50:00,"air1"
2014-08-29 13:50:00,"dishwasher1"
2014-08-30 14:50:00,"dishwasher1"
