"","Index","power","temperature","humidity","occupancy"
"1",2012-07-15 00:00:00,447.56,17,63,1
"2",2012-07-15 00:10:00,467.14,17,54,1
"3",2012-07-15 00:20:00,399.47,17,61,1
"4",2012-07-15 00:30:00,255.44,17,68,1
"5",2012-07-15 00:40:00,218.45,16.67,68,1
"6",2012-07-15 00:50:00,249.88,16.33,68,1
"7",2012-07-15 01:00:00,336.52,16,68,1
"8",2012-07-15 01:10:00,319.43,16,52,1
"9",2012-07-15 01:20:00,269.21,16,57.5,1
"10",2012-07-15 01:30:00,283.79,16,63,1
"11",2012-07-15 01:40:00,325.98,15.67,64.33,1
"12",2012-07-15 01:50:00,241.39,15.33,65.67,1
"13",2012-07-15 02:00:00,406.94,15,67,1
"14",2012-07-15 02:10:00,383.82,15,59,1
"15",2012-07-15 02:20:00,282.39,14.8,62.6,1
"16",2012-07-15 02:30:00,346.78,14.6,66.2,1
"17",2012-07-15 02:40:00,341.53,14.4,69.8,1
"18",2012-07-15 02:50:00,266.02,14.2,73.4,1
"19",2012-07-15 03:00:00,249.43,14,77,1
"20",2012-07-15 03:10:00,255.83,14,68,1
"21",2012-07-15 03:20:00,1929.44,14,72.5,1
"22",2012-07-15 03:30:00,4698.05,14,77,1
"23",2012-07-15 03:40:00,4685.5,14.33,73.67,1
"24",2012-07-15 03:50:00,4646.28,14.67,70.33,1
"25",2012-07-15 04:00:00,4604.52,15,67,1
"26",2012-07-15 04:10:00,4724.57,14,62,1
"27",2012-07-15 04:20:00,4731.84,14.5,67,1
"28",2012-07-15 04:30:00,4682.23,15,72,1
"29",2012-07-15 04:40:00,2010.61,14.67,73.67,1
"30",2012-07-15 04:50:00,273.48,14.33,75.33,1
"31",2012-07-15 05:00:00,231.7,14,77,1
"32",2012-07-15 05:10:00,272.37,14,78.67,1
"33",2012-07-15 05:20:00,338.8,14,80.33,1
"34",2012-07-15 05:30:00,286.47,14,82,1
"35",2012-07-15 05:40:00,229.1,14,82,1
"36",2012-07-15 05:50:00,309.7,14,82,1
"37",2012-07-15 06:00:00,427.43,14,82,1
"38",2012-07-15 06:10:00,419.88,14,82,1
"39",2012-07-15 06:20:00,332.41,14,82,1
"40",2012-07-15 06:30:00,276.16,14,82,1
"41",2012-07-15 06:40:00,170.16,14,82,1
"42",2012-07-15 06:50:00,243.24,14,82,1
"43",2012-07-15 07:00:00,347.53,14,82,1
"44",2012-07-15 07:10:00,338.91,14,71,1
"45",2012-07-15 07:20:00,287.88,14,76.5,1
"46",2012-07-15 07:30:00,263.33,14,82,1
