"Index","power","anomaly"
2012-09-01 00:00:00,90.6,0
2012-09-01 00:10:00,105.13,0
2012-09-01 00:20:00,92.44,0
2012-09-01 00:30:00,97.55,0
2012-09-01 00:40:00,107.95,0
2012-09-01 00:50:00,92.83,0
2012-09-01 01:00:00,97.46,0
2012-09-01 01:10:00,104.88,0
2012-09-01 01:20:00,98.66,0
2012-09-01 01:30:00,93.9,0
2012-09-01 01:40:00,105.88,0
2012-09-01 01:50:00,98.37,0
2012-09-01 02:00:00,91.28,0
2012-09-01 02:10:00,103.84,0
2012-09-01 02:20:00,102.17,0
2012-09-01 02:30:00,89.04,0
2012-09-01 02:40:00,105.7,0
2012-09-01 02:50:00,102.38,0
2012-09-01 03:00:00,87.2,0
2012-09-01 03:10:00,107.99,0
2012-09-01 03:20:00,100.19,0
2012-09-01 03:30:00,90.29,0
2012-09-01 03:40:00,105.91,0
2012-09-01 03:50:00,90.39,0
2012-09-01 04:00:00,100.52,0
2012-09-01 04:10:00,104.22,0
2012-09-01 04:20:00,84.66,0
2012-09-01 04:30:00,108.05,0
2012-09-01 04:40:00,88.76,0
2012-09-01 04:50:00,104.1,0
2012-09-01 05:00:00,100.75,0
2012-09-01 05:10:00,91.2,0
2012-09-01 05:20:00,106.02,0
2012-09-01 05:30:00,84.83,0
2012-09-01 05:40:00,104.78,0
2012-09-01 05:50:00,84.51,0
2012-09-01 06:00:00,104.99,0
2012-09-01 06:10:00,84.41,0
2012-09-01 06:20:00,105.51,0
2012-09-01 06:30:00,84.54,0
2012-09-01 06:40:00,97.15,0
2012-09-01 06:50:00,92.77,0
2012-09-01 07:00:00,84.23,0
2012-09-01 07:10:00,105.69,0
2012-09-01 07:20:00,84.45,0
2012-09-01 07:30:00,105.6,0
2012-09-01 07:40:00,85.26,0
2012-09-01 07:50:00,85.24,0
2012-09-01 08:00:00,103.96,0
2012-09-01 08:10:00,84.89,0
2012-09-01 08:20:00,85.09,0
2012-09-01 08:30:00,193.99,0
2012-09-01 08:40:00,370.1,1
2012-09-01 08:50:00,359.21,1
2012-09-01 09:00:00,280.3,0
2012-09-01 09:10:00,273.65,0
2012-09-01 09:20:00,190.19,0
2012-09-01 09:30:00,177.64,0
2012-09-01 09:40:00,182.72,0
2012-09-01 09:50:00,199.18,0
2012-09-01 10:00:00,169.36,0
2012-09-01 10:10:00,136.06,0
2012-09-01 10:20:00,163.49,0
2012-09-01 10:30:00,145.28,0
2012-09-01 10:40:00,147.08,0
2012-09-01 10:50:00,166.22,0
2012-09-01 11:00:00,147.84,0
2012-09-01 11:10:00,160.55,0
2012-09-01 11:20:00,157.49,0
2012-09-01 11:30:00,148.64,0
2012-09-01 11:40:00,168.61,0
2012-09-01 11:50:00,148.81,0
2012-09-01 12:00:00,153.38,0
2012-09-01 12:10:00,163.74,0
2012-09-01 12:20:00,148.81,0
2012-09-01 12:30:00,169.73,0
2012-09-01 12:40:00,151.1,0
2012-09-01 12:50:00,159,0
2012-09-01 13:00:00,156.19,0
2012-09-01 13:10:00,126.55,0
2012-09-01 13:20:00,147.75,0
2012-09-01 13:30:00,149.26,0
2012-09-01 13:40:00,1678.5,1
