"Index","anom_location"
2014-06-21 15:50:00,"Freezer"
2014-06-22 22:50:00,"TelevisionSite"
2014-06-26 18:50:00,"Freezer"
2014-06-26 19:50:00,"Freezer"
2014-06-28 09:50:00,"ComputerSite"
2014-06-29 20:50:00,"TelevisionSite"
2014-06-30 15:50:00,"TelevisionSite"
2014-07-08 09:50:00,"TelevisionSite"
2014-07-11 14:50:00,"Freezer"
2014-07-19 09:50:00,"TVSite"
2014-07-19 12:50:00,"TelevisionSite"
2014-07-19 13:50:00,"TelevisionSite"
2014-07-21 15:50:00,"TVSite"
2014-07-24 15:50:00,"Freezer"
2014-07-26 09:50:00,"TelevisionSite"
2014-07-29 13:50:00,"Freezer"
2014-07-29 18:50:00,"TelevisionSite"
2014-08-01 17:50:00,"Freezer"
2014-08-01 18:50:00,"Freezer"
2014-08-01 19:50:00,"Freezer"
2014-08-01 20:50:00,"Freezer"
2014-08-01 21:50:00,"Freezer"
2014-08-01 22:50:00,"Freezer"
2014-08-01 23:50:00,"Freezer"
2014-08-02 00:50:00,"ComputerSite"
2014-08-02 01:50:00,"ComputerSite"
2014-08-02 02:50:00,"ComputerSite"
2014-08-02 03:50:00,"ComputerSite"
2014-08-02 04:50:00,"Freezer"
2014-08-02 05:50:00,"Freezer"
2014-08-02 06:50:00,"Freezer"
2014-08-02 07:50:00,"Freezer"
2014-08-02 08:50:00,"Freezer"
2014-08-02 09:50:00,"Freezer"
2014-08-02 10:50:00,"Freezer"
2014-08-02 11:50:00,"Freezer"
2014-08-02 12:50:00,"Freezer"
2014-08-04 07:50:00,"Freezer"
2014-08-05 17:50:00,"ComputerSite"
2014-08-05 20:50:00,"TelevisionSite"
2014-08-06 18:50:00,"TelevisionSite"
2014-08-07 06:50:00,"Fridge.Freezer"
2014-08-07 17:50:00,"TelevisionSite"
2014-08-08 09:50:00,"Fridge.Freezer"
2014-08-08 11:50:00,"TelevisionSite"
2014-08-10 23:50:00,"TelevisionSite"
2014-08-14 17:50:00,"Freezer"
2014-08-15 14:50:00,"ComputerSite"
2014-08-17 17:50:00,"TVSite"
2014-08-18 21:50:00,"TelevisionSite"
2014-08-20 16:50:00,"Freezer"
2014-08-20 22:50:00,"TelevisionSite"
2014-08-22 10:50:00,"ComputerSite"
2014-08-22 15:50:00,"TVSite"
2014-08-24 12:50:00,"Freezer"
2014-08-25 14:50:00,"TVSite"
2014-08-25 20:50:00,"TelevisionSite"
2014-08-29 18:50:00,"TelevisionSite"
