"Index","power","anomaly"
2014-07-01 00:00:00,156,0
2014-07-01 00:10:00,156,0
2014-07-01 00:20:00,154,0
2014-07-01 00:30:00,172,0
2014-07-01 00:40:00,167,0
2014-07-01 00:50:00,164,0
2014-07-01 01:00:00,159,0
2014-07-01 01:10:00,150,0
2014-07-01 01:20:00,151,0
2014-07-01 01:30:00,150,0
2014-07-01 01:40:00,150,0
2014-07-01 01:50:00,150,0
2014-07-01 02:00:00,152,0
2014-07-01 02:10:00,158,0
2014-07-01 02:20:00,163,0
2014-07-01 02:30:00,171,0
2014-07-01 02:40:00,164,0
2014-07-01 02:50:00,159,0
2014-07-01 03:00:00,155,0
2014-07-01 03:10:00,150,0
2014-07-01 03:20:00,150,0
2014-07-01 03:30:00,151,0
2014-07-01 03:40:00,150,0
2014-07-01 03:50:00,150,0
2014-07-01 04:00:00,150,0
2014-07-01 04:10:00,149,0
2014-07-01 04:20:00,153,0
2014-07-01 04:30:00,169,0
2014-07-01 04:40:00,165,0
2014-07-01 04:50:00,161,0
2014-07-01 05:00:00,156,0
2014-07-01 05:10:00,149,0
2014-07-01 05:20:00,164,0
2014-07-01 05:30:00,164,0
2014-07-01 05:40:00,164,0
2014-07-01 05:50:00,914,1
2014-07-01 06:00:00,257,0
2014-07-01 06:10:00,310,0
2014-07-01 06:20:00,317,0
2014-07-01 06:30:00,169,0
2014-07-01 06:40:00,284,0
2014-07-01 06:50:00,206,0
2014-07-01 07:00:00,1623,1
2014-07-01 07:10:00,2310,1
2014-07-01 07:20:00,356,0
2014-07-01 07:30:00,345,0
2014-07-01 07:40:00,266,0
2014-07-01 07:50:00,285,0
2014-07-01 08:00:00,148,0
2014-07-01 08:10:00,149,0
2014-07-01 08:20:00,165,0
2014-07-01 08:30:00,165,0
2014-07-01 08:40:00,160,0
2014-07-01 08:50:00,156,0
2014-07-01 09:00:00,149,0
2014-07-01 09:10:00,148,0
2014-07-01 09:20:00,148,0
2014-07-01 09:30:00,149,0
2014-07-01 09:40:00,149,0
2014-07-01 09:50:00,149,0
2014-07-01 10:00:00,149,0
2014-07-01 10:10:00,148,0
2014-07-01 10:20:00,157,0
2014-07-01 10:30:00,166,0
2014-07-01 10:40:00,160,0
2014-07-01 10:50:00,158,0
2014-07-01 11:00:00,150,0
2014-07-01 11:10:00,149,0
2014-07-01 11:20:00,148,0
2014-07-01 11:30:00,149,0
2014-07-01 11:40:00,148,0
2014-07-01 11:50:00,148,0
2014-07-01 12:00:00,148,0
2014-07-01 12:10:00,148,0
2014-07-01 12:20:00,151.67,0
2014-07-01 12:30:00,155.33,0
2014-07-01 12:40:00,159,0
2014-07-01 12:50:00,158,0
2014-07-01 13:00:00,148,0
2014-07-01 13:10:00,148,0
2014-07-01 13:20:00,148,0
2014-07-01 13:30:00,147,0
2014-07-01 13:40:00,147,0
2014-07-01 13:50:00,148,0
2014-07-01 14:00:00,149,0
2014-07-01 14:10:00,160,0
2014-07-01 14:20:00,176,0
2014-07-01 14:30:00,183,0
2014-07-01 14:40:00,178,0
2014-07-01 14:50:00,246,0
2014-07-01 15:00:00,192,0
2014-07-01 15:10:00,174,0
2014-07-01 15:20:00,1404,1
2014-07-01 15:30:00,1814,1
2014-07-01 15:40:00,1219,1
2014-07-01 15:50:00,1099,1
2014-07-01 16:00:00,839,1
2014-07-01 16:10:00,832,1
2014-07-01 16:20:00,1530,1
2014-07-01 16:30:00,1929,1
2014-07-01 16:40:00,1010,1
2014-07-01 16:50:00,1067,1
2014-07-01 17:00:00,1092,1
2014-07-01 17:10:00,1719,1
2014-07-01 17:20:00,1809,1
2014-07-01 17:30:00,1686,1
2014-07-01 17:40:00,2745,1
2014-07-01 17:50:00,2820,1
2014-07-01 18:00:00,2266,1
2014-07-01 18:10:00,966,1
2014-07-01 18:20:00,474,1
2014-07-01 18:30:00,399,1
2014-07-01 18:40:00,390,0
2014-07-01 18:50:00,329,0
2014-07-01 19:00:00,161,0
2014-07-01 19:10:00,160,0
2014-07-01 19:20:00,268,0
2014-07-01 19:30:00,844,1
2014-07-01 19:40:00,345,0
2014-07-01 19:50:00,336,0
2014-07-01 20:00:00,333,0
2014-07-01 20:10:00,334,0
2014-07-01 20:20:00,301,0
2014-07-01 20:30:00,1026,0
2014-07-01 20:40:00,392,0
2014-07-01 20:50:00,1480,1
2014-07-01 21:00:00,1310,1
2014-07-01 21:10:00,439,0
2014-07-01 21:20:00,455,0
2014-07-01 21:30:00,445,0
2014-07-01 21:40:00,478,0
2014-07-01 21:50:00,476,0
2014-07-01 22:00:00,2207,1
2014-07-01 22:10:00,937,1
2014-07-01 22:20:00,294,0
2014-07-01 22:30:00,282,0
2014-07-01 22:40:00,200,0
2014-07-01 22:50:00,167,0
2014-07-01 23:00:00,162,0
2014-07-01 23:10:00,159,0
2014-07-01 23:20:00,156,0
